Cas,Teplota_C,Zrazky_mm
2026-04-28 09:29:29,8.9,0.0
2026-04-28 10:13:37,8.9,0.0
2026-04-28 10:19:53,8.9,0.0
2026-04-28 10:25:46,8.9,0.0
2026-04-28 10:28:45,8.9,0.0
2026-04-27T00:00,6.7,0.0
2026-04-27T01:00,5.3,0.0
2026-04-27T02:00,5.5,0.0
2026-04-27T03:00,4.6,0.0
2026-04-27T04:00,3.5,0.0
2026-04-27T05:00,5.2,0.0
2026-04-27T06:00,7.1,0.0
2026-04-27T07:00,9.5,0.0
2026-04-27T08:00,11.8,0.0
2026-04-27T09:00,13.6,0.0
2026-04-27T10:00,14.8,0.0
2026-04-27T11:00,15.6,0.0
2026-04-27T12:00,16.1,0.0
2026-04-27T13:00,16.8,0.0
2026-04-27T14:00,17.2,0.0
2026-04-27T15:00,17.4,0.0
2026-04-27T16:00,17.0,0.0
2026-04-27T17:00,15.9,0.0
2026-04-27T18:00,13.1,0.0
2026-04-27T19:00,12.3,0.0
2026-04-27T20:00,11.4,0.0
2026-04-27T21:00,10.4,0.0
2026-04-27T22:00,9.6,0.0
2026-04-27T23:00,8.9,0.0
2026-04-27T00:00,6.7,0.0
2026-04-27T01:00,5.3,0.0
2026-04-27T02:00,5.5,0.0
2026-04-27T03:00,4.6,0.0
2026-04-27T04:00,3.5,0.0
2026-04-27T05:00,5.2,0.0
2026-04-27T06:00,7.1,0.0
2026-04-27T07:00,9.5,0.0
2026-04-27T08:00,11.8,0.0
2026-04-27T09:00,13.6,0.0
2026-04-27T10:00,14.8,0.0
2026-04-27T11:00,15.6,0.0
2026-04-27T12:00,16.1,0.0
2026-04-27T13:00,16.8,0.0
2026-04-27T14:00,17.2,0.0
2026-04-27T15:00,17.4,0.0
2026-04-27T16:00,17.0,0.0
2026-04-27T17:00,15.9,0.0
2026-04-27T18:00,13.1,0.0
2026-04-27T19:00,12.3,0.0
2026-04-27T20:00,11.4,0.0
2026-04-27T21:00,10.4,0.0
2026-04-27T22:00,9.6,0.0
2026-04-27T23:00,8.9,0.0
